120322-bin51|PROKKA_MOD_00290	1.1.1.3
120322-bin51|PROKKA_MOD_00291	2.7.2.4
120322-bin51|PROKKA_MOD_00302	2.7.7.6
120322-bin51|PROKKA_MOD_00303	2.7.7.6
120322-bin51|PROKKA_MOD_00322	5.99.1.3
120322-bin51|PROKKA_MOD_00323	5.99.1.3
120322-bin51|PROKKA_MOD_00328	1.10.3.-
120322-bin51|PROKKA_MOD_00329	1.9.3.1
120322-bin51|PROKKA_MOD_00330	1.9.3.1
120322-bin51|PROKKA_MOD_00332	2.5.1.-
120322-bin51|PROKKA_MOD_00335	2.5.1.10
120322-bin51|PROKKA_MOD_00341	6.5.1.2
120322-bin51|PROKKA_MOD_00342	1.3.3.4
120322-bin51|PROKKA_MOD_00343	1.1.1.-
120322-bin51|PROKKA_MOD_00344	4.1.1.37
120322-bin51|PROKKA_MOD_00345	1.3.3.3
120322-bin51|PROKKA_MOD_00352	2.5.1.72
120322-bin51|PROKKA_MOD_00354	2.5.1.10
120322-bin51|PROKKA_MOD_00367	6.1.1.10
120322-bin51|PROKKA_MOD_00371	1.1.-.-
120322-bin51|PROKKA_MOD_00372	2.7.13.3
120322-bin51|PROKKA_MOD_00377	2.7.1.90
120322-bin51|PROKKA_MOD_00381	3.6.4.13
120322-bin51|PROKKA_MOD_00392	3.1.6.6
120322-bin51|PROKKA_MOD_00393	3.1.6.1
120322-bin51|PROKKA_MOD_00394	3.1.6.1
120322-bin51|PROKKA_MOD_00395	3.4.11.-
120322-bin51|PROKKA_MOD_00397	3.5.4.2
120322-bin51|PROKKA_MOD_00402	6.3.2.-
120322-bin51|PROKKA_MOD_00403	2.7.7.7
120322-bin51|PROKKA_MOD_00404	2.7.1.-
120322-bin51|PROKKA_MOD_00405	1.8.1.2
120322-bin51|PROKKA_MOD_00406	1.8.1.2
120322-bin51|PROKKA_MOD_00412	3.1.3.16
120322-bin51|PROKKA_MOD_00413	3.6.4.12
120322-bin51|PROKKA_MOD_00414	2.7.7.60
120322-bin51|PROKKA_MOD_00415	4.1.1.23
120322-bin51|PROKKA_MOD_00416	2.7.1.148
120322-bin51|PROKKA_MOD_00417	2.7.3.9
120322-bin51|PROKKA_MOD_00418	1.1.1.29
120322-bin51|PROKKA_MOD_00419	2.4.1.250
120322-bin51|PROKKA_MOD_00422	2.1.1.191
120322-bin51|PROKKA_MOD_00427	2.7.7.-
120322-bin51|PROKKA_MOD_00430	1.6.5.-
120322-bin51|PROKKA_MOD_00432	4.2.1.20
120322-bin51|PROKKA_MOD_00439	2.7.7.7
120322-bin51|PROKKA_MOD_00441	5.3.1.8
120322-bin51|PROKKA_MOD_00444	2.1.2.2
120322-bin51|PROKKA_MOD_00445	2.1.1.-
120322-bin51|PROKKA_MOD_00456	3.4.21.102
120322-bin51|PROKKA_MOD_00458	3.6.3.14
120322-bin51|PROKKA_MOD_00460	3.6.3.14
120322-bin51|PROKKA_MOD_00466	2.1.1.33
120322-bin51|PROKKA_MOD_00467	2.8.1.-
120322-bin51|PROKKA_MOD_00468	3.2.1.41
120322-bin51|PROKKA_MOD_00470	1.2.1.12
120322-bin51|PROKKA_MOD_00471	2.7.2.3
120322-bin51|PROKKA_MOD_00472	5.3.1.1
120322-bin51|PROKKA_MOD_00473	2.3.1.39
120322-bin51|PROKKA_MOD_00474	3.6.5.-
120322-bin51|PROKKA_MOD_00475	3.4.21.89
120322-bin51|PROKKA_MOD_00477	2.4.1.25
120322-bin51|PROKKA_MOD_00478	3.6.4.-
120322-bin51|PROKKA_MOD_00479	3.6.3.-
120322-bin51|PROKKA_MOD_00488	5.1.3.3
120322-bin51|PROKKA_MOD_00489	1.2.4.4
120322-bin51|PROKKA_MOD_00493	1.4.3.19
120322-bin51|PROKKA_MOD_00495	1.1.1.49
120322-bin51|PROKKA_MOD_00497	1.11.1.15
120322-bin51|PROKKA_MOD_00500	2.7.1.40
120322-bin51|PROKKA_MOD_00501	3.-.-.-
120322-bin51|PROKKA_MOD_00502	3.5.4.16
120322-bin51|PROKKA_MOD_00503	5.3.3.2
120322-bin51|PROKKA_MOD_00512	4.2.99.18
120322-bin51|PROKKA_MOD_00515	3.6.1.7
120322-bin51|PROKKA_MOD_00519	2.3.1.181
120322-bin51|PROKKA_MOD_00520	2.8.1.8
120322-bin51|PROKKA_MOD_00522	1.1.1.-
120322-bin51|PROKKA_MOD_00525	3.1.-.-
120322-bin51|PROKKA_MOD_00527	6.3.2.6
120322-bin51|PROKKA_MOD_00531	3.6.1.17
120322-bin51|PROKKA_MOD_00533	4.2.3.5
120322-bin51|PROKKA_MOD_00536	2.1.1.242
120322-bin51|PROKKA_MOD_00539	3.5.3.12
120322-bin51|PROKKA_MOD_00540	3.5.1.77
120322-bin51|PROKKA_MOD_00541	2.4.2.17
120322-bin51|PROKKA_MOD_00542	1.11.1.15
120322-bin51|PROKKA_MOD_00545	2.7.8.31
120322-bin51|PROKKA_MOD_00548	2.4.1.57
120322-bin51|PROKKA_MOD_00553	2.4.1.11
120322-bin51|PROKKA_MOD_00554	2.3.1.-
120322-bin51|PROKKA_MOD_00567	3.6.3.-
120322-bin51|PROKKA_MOD_00579	1.14.13.165
120322-bin51|PROKKA_MOD_00592	3.6.4.13
120322-bin51|PROKKA_MOD_00593	3.6.4.-
120322-bin51|PROKKA_MOD_00598	3.4.24.-
120322-bin51|PROKKA_MOD_00601	6.4.1.2
120322-bin51|PROKKA_MOD_00610	3.5.4.33
120322-bin51|PROKKA_MOD_00622	4.2.1.1
120322-bin51|PROKKA_MOD_00623	2.6.1.83
120322-bin51|PROKKA_MOD_00624	6.3.2.1
120322-bin51|PROKKA_MOD_00625	1.4.3.16
120322-bin51|PROKKA_MOD_00628	6.3.4.4
120322-bin51|PROKKA_MOD_00629	1.1.1.205
120322-bin51|PROKKA_MOD_00630	4.2.1.113
120322-bin51|PROKKA_MOD_00631	6.2.1.26
120322-bin51|PROKKA_MOD_00633	3.1.-.-
120322-bin51|PROKKA_MOD_00636	3.3.1.1
120322-bin51|PROKKA_MOD_00637	2.5.1.6
120322-bin51|PROKKA_MOD_00638	3.6.4.12
120322-bin51|PROKKA_MOD_00639	2.4.1.57
120322-bin51|PROKKA_MOD_00640	2.4.1.-
120322-bin51|PROKKA_MOD_00650	3.4.21.88
120322-bin51|PROKKA_MOD_00656	2.7.10.2
120322-bin51|PROKKA_MOD_00658	2.3.3.13
120322-bin51|PROKKA_MOD_00659	1.2.1.22
120322-bin51|PROKKA_MOD_00661	3.1.3.18
120322-bin51|PROKKA_MOD_00662	3.1.3.5
120322-bin51|PROKKA_MOD_00670	2.7.3.-
120322-bin51|PROKKA_MOD_00672	2.6.1.42
120322-bin51|PROKKA_MOD_00674	2.4.2.2
120322-bin51|PROKKA_MOD_00675	6.1.1.19
120322-bin51|PROKKA_MOD_00678	1.1.1.42
120322-bin51|PROKKA_MOD_00679	2.6.1.1
120322-bin51|PROKKA_MOD_00685	2.7.9.1
120322-bin51|PROKKA_MOD_00689	2.3.1.129
120322-bin51|PROKKA_MOD_00690	3.5.1.-
120322-bin51|PROKKA_MOD_00692	2.4.2.8
120322-bin51|PROKKA_MOD_00693	2.5.1.54
120322-bin51|PROKKA_MOD_00694	2.1.1.-
120322-bin51|PROKKA_MOD_00696	3.6.5.-
120322-bin51|PROKKA_MOD_00705	2.-.-.-
120322-bin51|PROKKA_MOD_00707	1.17.1.2
120322-bin51|PROKKA_MOD_00711	2.7.7.7
120322-bin51|PROKKA_MOD_00714	1.1.1.44
120322-bin51|PROKKA_MOD_00716	4.1.2.17
120322-bin51|PROKKA_MOD_00720	1.2.1.76
120322-bin51|PROKKA_MOD_00723	2.7.2.1
120322-bin51|PROKKA_MOD_00726	2.3.1.222
120322-bin51|PROKKA_MOD_00728	2.7.1.5
120322-bin51|PROKKA_MOD_00729	1.1.5.4
120322-bin51|PROKKA_MOD_00731	3.1.3.3
120322-bin51|PROKKA_MOD_00733	5.3.1.24
120322-bin51|PROKKA_MOD_00736	5.2.1.8
120322-bin51|PROKKA_MOD_00737	5.2.1.8
120322-bin51|PROKKA_MOD_00740	1.3.99.1
120322-bin51|PROKKA_MOD_00741	1.3.99.1
120322-bin51|PROKKA_MOD_00743	6.3.4.2
120322-bin51|PROKKA_MOD_00745	4.1.1.48
120322-bin51|PROKKA_MOD_00746	2.1.1.182
120322-bin51|PROKKA_MOD_00748	3.1.6.1
120322-bin51|PROKKA_MOD_00750	1.7.1.13
120322-bin51|PROKKA_MOD_00753	2.7.7.56
120322-bin51|PROKKA_MOD_00759	2.4.1.-
120322-bin51|PROKKA_MOD_00765	3.1.6.1
120322-bin51|PROKKA_MOD_00768	3.5.99.6
120322-bin51|PROKKA_MOD_00771	1.1.1.312
120322-bin51|PROKKA_MOD_00772	1.1.1.18
120322-bin51|PROKKA_MOD_00780	3.1.26.-
120322-bin51|PROKKA_MOD_00781	2.7.1.31
120322-bin51|PROKKA_MOD_00786	3.4.21.107
120322-bin51|PROKKA_MOD_00788	1.4.3.5
120322-bin51|PROKKA_MOD_00789	1.8.1.9
120322-bin51|PROKKA_MOD_00791	3.1.21.-
120322-bin51|PROKKA_MOD_00794	2.5.1.55
120322-bin51|PROKKA_MOD_00796	2.6.1.9
120322-bin51|PROKKA_MOD_00797	1.1.1.133
120322-bin51|PROKKA_MOD_00798	2.3.1.181
120322-bin51|PROKKA_MOD_00800	4.2.1.59
120322-bin51|PROKKA_MOD_00802	2.7.7.7
120322-bin51|PROKKA_MOD_00808	5.3.1.13
120322-bin51|PROKKA_MOD_00809	3.4.21.105
120322-bin51|PROKKA_MOD_00812	2.4.2.14
120322-bin51|PROKKA_MOD_00815	3.1.-.-
120322-bin51|PROKKA_MOD_00820	4.3.2.1
120322-bin51|PROKKA_MOD_00822	2.3.1.8
120322-bin51|PROKKA_MOD_00823	2.3.1.8
120322-bin51|PROKKA_MOD_00824	3.1.11.6
120322-bin51|PROKKA_MOD_00825	2.2.1.7
120322-bin51|PROKKA_MOD_00831	3.1.-.-
120322-bin51|PROKKA_MOD_00836	3.1.-.-
120322-bin51|PROKKA_MOD_00839	4.3.3.7
120322-bin51|PROKKA_MOD_00840	1.17.1.8
120322-bin51|PROKKA_MOD_00841	3.6.4.12
120322-bin51|PROKKA_MOD_00845	2.3.1.31
120322-bin51|PROKKA_MOD_00846	2.7.6.1
120322-bin51|PROKKA_MOD_00847	2.3.1.-
120322-bin51|PROKKA_MOD_00850	3.6.4.12
120322-bin51|PROKKA_MOD_00854	3.1.1.29
120322-bin51|PROKKA_MOD_00856	4.1.1.-
120322-bin51|PROKKA_MOD_00857	4.1.1.19
120322-bin51|PROKKA_MOD_00861	4.2.1.24
120322-bin51|PROKKA_MOD_00862	6.1.1.16
120322-bin51|PROKKA_MOD_00865	2.7.7.41
120322-bin51|PROKKA_MOD_00867	3.1.1.15
120322-bin51|PROKKA_MOD_00869	6.1.1.3
120322-bin51|PROKKA_MOD_00870	4.2.1.130
120322-bin51|PROKKA_MOD_00875	3.1.-.-
120322-bin51|PROKKA_MOD_00876	3.2.2.23
120322-bin51|PROKKA_MOD_00881	2.7.7.7
120322-bin51|PROKKA_MOD_00882	2.7.7.7
120322-bin51|PROKKA_MOD_00884	2.1.1.45
120322-bin51|PROKKA_MOD_00885	1.5.1.3
120322-bin51|PROKKA_MOD_00893	6.3.2.4
120322-bin51|PROKKA_MOD_00894	1.3.1.98
120322-bin51|PROKKA_MOD_00895	2.4.1.227
120322-bin51|PROKKA_MOD_00897	3.4.-.-
120322-bin51|PROKKA_MOD_00898	6.3.5.3
120322-bin51|PROKKA_MOD_00900	1.1.99.28
120322-bin51|PROKKA_MOD_00901	1.1.1.22
120322-bin51|PROKKA_MOD_00902	1.3.1.-
120322-bin51|PROKKA_MOD_00904	3.1.-.-
120322-bin51|PROKKA_MOD_00905	6.3.1.2
120322-bin51|PROKKA_MOD_00907	3.1.3.16
120322-bin51|PROKKA_MOD_00913	6.1.1.6
120322-bin51|PROKKA_MOD_00916	3.6.3.5
120322-bin51|PROKKA_MOD_00921	3.6.3.-
120322-bin51|PROKKA_MOD_00924	3.4.24.-
120322-bin51|PROKKA_MOD_00925	6.3.4.19
120322-bin51|PROKKA_MOD_00926	3.1.1.72
120322-bin51|PROKKA_MOD_00927	3.1.1.72
120322-bin51|PROKKA_MOD_00932	3.1.6.1
120322-bin51|PROKKA_MOD_00934	3.1.4.46
120322-bin51|PROKKA_MOD_00939	3.2.1.22
120322-bin51|PROKKA_MOD_00947	3.5.1.88
120322-bin51|PROKKA_MOD_00950	3.5.1.49
120322-bin51|PROKKA_MOD_00952	3.6.3.-
120322-bin51|PROKKA_MOD_00956	3.6.3.-
120322-bin51|PROKKA_MOD_00963	3.5.1.5
120322-bin51|PROKKA_MOD_00966	2.3.1.89
120322-bin51|PROKKA_MOD_00969	2.7.2.11
120322-bin51|PROKKA_MOD_00971	2.7.4.22
120322-bin51|PROKKA_MOD_00973	2.7.7.18
120322-bin51|PROKKA_MOD_00976	2.7.13.3
120322-bin51|PROKKA_MOD_00977	5.4.99.26
120322-bin51|PROKKA_MOD_00978	6.1.1.20
120322-bin51|PROKKA_MOD_00980	6.1.1.20
120322-bin51|PROKKA_MOD_00983	3.4.24.-
120322-bin51|PROKKA_MOD_00991	2.1.2.9
120322-bin51|PROKKA_MOD_00993	3.1.3.15
120322-bin51|PROKKA_MOD_01000	1.1.1.18
120322-bin51|PROKKA_MOD_01003	1.-.-.-
120322-bin51|PROKKA_MOD_01005	3.1.6.6
120322-bin51|PROKKA_MOD_01007	1.-.-.-
120322-bin51|PROKKA_MOD_01008	5.3.1.12
120322-bin51|PROKKA_MOD_01009	1.1.1.310
120322-bin51|PROKKA_MOD_01010	1.1.1.-
120322-bin51|PROKKA_MOD_01012	2.7.1.39
120322-bin51|PROKKA_MOD_01013	2.1.1.264
120322-bin51|PROKKA_MOD_01016	4.1.1.20
120322-bin51|PROKKA_MOD_01020	5.4.99.23
120322-bin51|PROKKA_MOD_01022	5.4.99.25
120322-bin51|PROKKA_MOD_01023	3.1.-.-
120322-bin51|PROKKA_MOD_01027	6.3.4.20
120322-bin51|PROKKA_MOD_01032	2.7.8.30
120322-bin51|PROKKA_MOD_01037	2.7.8.30
120322-bin51|PROKKA_MOD_01039	2.1.1.-
120322-bin51|PROKKA_MOD_01046	4.2.1.11
120322-bin51|PROKKA_MOD_01048	3.5.1.10
120322-bin51|PROKKA_MOD_01049	6.3.5.5
120322-bin51|PROKKA_MOD_01054	3.1.6.1
120322-bin51|PROKKA_MOD_01056	3.6.1.-
120322-bin51|PROKKA_MOD_01059	4.4.1.8
120322-bin51|PROKKA_MOD_01060	3.5.4.2
120322-bin51|PROKKA_MOD_01076	2.7.13.3
120322-bin51|PROKKA_MOD_01080	2.7.4.3
120322-bin51|PROKKA_MOD_01081	2.7.1.130
120322-bin51|PROKKA_MOD_01082	5.99.1.2
120322-bin51|PROKKA_MOD_01083	2.6.1.52
120322-bin51|PROKKA_MOD_01086	2.1.1.228
120322-bin51|PROKKA_MOD_01089	1.-.-.-
120322-bin51|PROKKA_MOD_01091	2.2.1.6
120322-bin51|PROKKA_MOD_01092	3.6.4.12
120322-bin51|PROKKA_MOD_01093	2.1.1.185
120322-bin51|PROKKA_MOD_01094	1.2.1.16
120322-bin51|PROKKA_MOD_01096	6.1.1.1
120322-bin51|PROKKA_MOD_01097	1.11.1.15
120322-bin51|PROKKA_MOD_01100	3.1.3.3
120322-bin51|PROKKA_MOD_01101	4.2.1.3
120322-bin51|PROKKA_MOD_01106	3.4.24.55
120322-bin51|PROKKA_MOD_01110	2.7.7.53
120322-bin51|PROKKA_MOD_01113	3.1.-.-
120322-bin51|PROKKA_MOD_01114	1.14.19.-
120322-bin51|PROKKA_MOD_01116	3.4.21.92
120322-bin51|PROKKA_MOD_01117	5.2.1.8
120322-bin51|PROKKA_MOD_01122	3.1.21.-
120322-bin51|PROKKA_MOD_01130	2.1.1.176
120322-bin51|PROKKA_MOD_01132	5.4.2.10
120322-bin51|PROKKA_MOD_01133	2.4.2.18
120322-bin51|PROKKA_MOD_01134	3.6.1.27
120322-bin51|PROKKA_MOD_01135	3.6.4.13
120322-bin51|PROKKA_MOD_01137	2.4.99.12
120322-bin51|PROKKA_MOD_01142	2.3.1.179
120322-bin51|PROKKA_MOD_01144	1.1.1.100
120322-bin51|PROKKA_MOD_01145	5.4.99.22
120322-bin51|PROKKA_MOD_01150	1.5.1.2
120322-bin51|PROKKA_MOD_01156	3.1.6.1
120322-bin51|PROKKA_MOD_01158	3.2.1.170
120322-bin51|PROKKA_MOD_01160	3.1.6.1
120322-bin51|PROKKA_MOD_01162	1.1.1.271
120322-bin51|PROKKA_MOD_01163	4.2.1.47
120322-bin51|PROKKA_MOD_01165	4.99.1.1
120322-bin51|PROKKA_MOD_01167	1.2.1.70
120322-bin51|PROKKA_MOD_01169	2.7.13.3
120322-bin51|PROKKA_MOD_01173	2.3.3.1
120322-bin51|PROKKA_MOD_01174	2.4.2.-
120322-bin51|PROKKA_MOD_01175	4.2.1.19
120322-bin51|PROKKA_MOD_01176	2.6.1.9
120322-bin51|PROKKA_MOD_01179	2.7.13.3
120322-bin51|PROKKA_MOD_01182	3.1.6.1
120322-bin51|PROKKA_MOD_01186	3.2.1.52
120322-bin51|PROKKA_MOD_01191	3.1.6.1
120322-bin51|PROKKA_MOD_01200	3.6.4.13
120322-bin51|PROKKA_MOD_01201	1.8.4.8
120322-bin51|PROKKA_MOD_01203	2.5.1.31
120322-bin51|PROKKA_MOD_01204	2.7.7.41
120322-bin51|PROKKA_MOD_01205	1.1.1.267
120322-bin51|PROKKA_MOD_01206	3.4.24.-
120322-bin51|PROKKA_MOD_01208	1.17.7.1
120322-bin51|PROKKA_MOD_01210	2.4.1.-
120322-bin51|PROKKA_MOD_01211	6.1.1.21
120322-bin51|PROKKA_MOD_01214	3.4.-.-
120322-bin51|PROKKA_MOD_01216	3.2.2.-
120322-bin51|PROKKA_MOD_01217	3.1.26.4
120322-bin51|PROKKA_MOD_01218	1.11.1.21
120322-bin51|PROKKA_MOD_01220	3.1.26.4
120322-bin51|PROKKA_MOD_01224	3.1.6.1
120322-bin51|PROKKA_MOD_01225	3.1.6.1
120322-bin51|PROKKA_MOD_01226	3.1.6.1
120322-bin51|PROKKA_MOD_01227	3.2.1.22
120322-bin51|PROKKA_MOD_01231	6.2.1.5
120322-bin51|PROKKA_MOD_01232	6.2.1.5
120322-bin51|PROKKA_MOD_01233	1.-.-.-
120322-bin51|PROKKA_MOD_01235	2.7.1.71
120322-bin51|PROKKA_MOD_01236	1.-.-.-
120322-bin51|PROKKA_MOD_01237	2.4.1.182
120322-bin51|PROKKA_MOD_01241	3.1.11.2
120322-bin51|PROKKA_MOD_01242	2.7.4.16
120322-bin51|PROKKA_MOD_01244	2.3.2.13
120322-bin51|PROKKA_MOD_01258	1.-.-.-
120322-bin51|PROKKA_MOD_01262	1.1.1.292
120322-bin51|PROKKA_MOD_01271	2.1.1.163
120322-bin51|PROKKA_MOD_01275	2.7.11.-
120322-bin51|PROKKA_MOD_01276	3.6.3.-
120322-bin51|PROKKA_MOD_01278	6.1.1.12
120322-bin51|PROKKA_MOD_01283	1.1.1.37
120322-bin51|PROKKA_MOD_01284	2.5.1.54
120322-bin51|PROKKA_MOD_01288	4.2.1.33
120322-bin51|PROKKA_MOD_01289	4.2.1.33
120322-bin51|PROKKA_MOD_01294	4.3.1.19
120322-bin51|PROKKA_MOD_01295	3.1.6.1
120322-bin51|PROKKA_MOD_01296	2.5.1.9
120322-bin51|PROKKA_MOD_01298	1.20.4.-
120322-bin51|PROKKA_MOD_01304	3.1.5.1
120322-bin51|PROKKA_MOD_01308	1.14.13.9
120322-bin51|PROKKA_MOD_01309	3.6.4.13
120322-bin51|PROKKA_MOD_01313	3.4.21.-
120322-bin51|PROKKA_MOD_01321	2.3.1.129
120322-bin51|PROKKA_MOD_01322	1.1.1.262
120322-bin51|PROKKA_MOD_01325	3.5.1.28
120322-bin51|PROKKA_MOD_01327	2.7.1.25
120322-bin51|PROKKA_MOD_01328	2.7.7.4
120322-bin51|PROKKA_MOD_01331	1.4.1.18
120322-bin51|PROKKA_MOD_01333	2.2.1.1
120322-bin51|PROKKA_MOD_01347	2.2.1.5
120322-bin51|PROKKA_MOD_01348	2.3.1.61
120322-bin51|PROKKA_MOD_01349	1.8.1.4
120322-bin51|PROKKA_MOD_01363	2.7.4.8
120322-bin51|PROKKA_MOD_01368	2.4.1.-
120322-bin51|PROKKA_MOD_01370	2.3.1.12
120322-bin51|PROKKA_MOD_01371	1.2.4.1
120322-bin51|PROKKA_MOD_01372	1.1.1.-
120322-bin51|PROKKA_MOD_01374	1.1.1.47
120322-bin51|PROKKA_MOD_01375	4.1.99.3
120322-bin51|PROKKA_MOD_01382	3.6.3.-
120322-bin51|PROKKA_MOD_01383	3.1.13.5
120322-bin51|PROKKA_MOD_01386	3.6.4.12
120322-bin51|PROKKA_MOD_01391	2.7.7.-
120322-bin51|PROKKA_MOD_01392	5.4.2.2
120322-bin51|PROKKA_MOD_01394	1.-.-.-
120322-bin51|PROKKA_MOD_01395	4.1.99.3
120322-bin51|PROKKA_MOD_01396	1.1.1.25
120322-bin51|PROKKA_MOD_01401	3.5.2.6
120322-bin51|PROKKA_MOD_01402	2.7.7.8
120322-bin51|PROKKA_MOD_01406	4.1.1.-
120322-bin51|PROKKA_MOD_01408	2.7.13.3
120322-bin51|PROKKA_MOD_01411	2.4.99.-
120322-bin51|PROKKA_MOD_01413	2.7.7.27
120322-bin51|PROKKA_MOD_01414	2.6.1.16
