120322-bin51|PROKKA_MOD_00474	PF06421
120322-bin51|PROKKA_MOD_00475	PF10502
120322-bin51|PROKKA_MOD_00476	PF03486
120322-bin51|PROKKA_MOD_00477	PF02446
120322-bin51|PROKKA_MOD_00478	PF00270
120322-bin51|PROKKA_MOD_00479	PF00005
120322-bin51|PROKKA_MOD_00481	PF01475
120322-bin51|PROKKA_MOD_00482	PF00829
120322-bin51|PROKKA_MOD_00483	PF01016
120322-bin51|PROKKA_MOD_00485	PF00176
120322-bin51|PROKKA_MOD_00486	PF00916
120322-bin51|PROKKA_MOD_00487	PF00582
120322-bin51|PROKKA_MOD_00488	PF01263
120322-bin51|PROKKA_MOD_00489	PF00676
120322-bin51|PROKKA_MOD_00492	PF06962
120322-bin51|PROKKA_MOD_00493	PF01266
120322-bin51|PROKKA_MOD_00494	PF02021
120322-bin51|PROKKA_MOD_00495	PF02781
120322-bin51|PROKKA_MOD_00496	PF10128
120322-bin51|PROKKA_MOD_00497	PF00578
120322-bin51|PROKKA_MOD_00498	PF00027
120322-bin51|PROKKA_MOD_00500	PF00224
120322-bin51|PROKKA_MOD_00501	PF12706
120322-bin51|PROKKA_MOD_00502	PF02649
120322-bin51|PROKKA_MOD_00503	PF00293
120322-bin51|PROKKA_MOD_00506	PF00158
120322-bin51|PROKKA_MOD_00507	PF07610
120322-bin51|PROKKA_MOD_00509	PF00581
120322-bin51|PROKKA_MOD_00511	PF03544
120322-bin51|PROKKA_MOD_00512	PF00730
120322-bin51|PROKKA_MOD_00514	PF00004
120322-bin51|PROKKA_MOD_00515	PF00708
120322-bin51|PROKKA_MOD_00519	PF03099
120322-bin51|PROKKA_MOD_00520	PF04055
120322-bin51|PROKKA_MOD_00521	PF04333
120322-bin51|PROKKA_MOD_00522	PF00248
120322-bin51|PROKKA_MOD_00525	PF00149
120322-bin51|PROKKA_MOD_00526	PF14108
120322-bin51|PROKKA_MOD_00527	PF01259
120322-bin51|PROKKA_MOD_00528	PF01551
120322-bin51|PROKKA_MOD_00532	PF00857
120322-bin51|PROKKA_MOD_00533	PF01264
120322-bin51|PROKKA_MOD_00535	PF04307
120322-bin51|PROKKA_MOD_00536	PF04445
120322-bin51|PROKKA_MOD_00537	PF00924
120322-bin51|PROKKA_MOD_00538	PF01728
120322-bin51|PROKKA_MOD_00539	PF04371
120322-bin51|PROKKA_MOD_00540	PF00795
120322-bin51|PROKKA_MOD_00541	PF01634
120322-bin51|PROKKA_MOD_00542	PF00578
120322-bin51|PROKKA_MOD_00543	PF00072
120322-bin51|PROKKA_MOD_00545	PF02397
120322-bin51|PROKKA_MOD_00546	PF02357
120322-bin51|PROKKA_MOD_00547	PF03808
120322-bin51|PROKKA_MOD_00548	PF00534
120322-bin51|PROKKA_MOD_00552	PF00534
120322-bin51|PROKKA_MOD_00553	PF00534
120322-bin51|PROKKA_MOD_00554	PF00132
120322-bin51|PROKKA_MOD_00557	PF13535
120322-bin51|PROKKA_MOD_00558	PF14397
120322-bin51|PROKKA_MOD_00559	PF13535
120322-bin51|PROKKA_MOD_00561	PF00856
120322-bin51|PROKKA_MOD_00562	PF13535
120322-bin51|PROKKA_MOD_00563	PF07691
120322-bin51|PROKKA_MOD_00566	PF12679
120322-bin51|PROKKA_MOD_00567	PF00005
120322-bin51|PROKKA_MOD_00569	PF03441
120322-bin51|PROKKA_MOD_00570	PF08547
120322-bin51|PROKKA_MOD_00577	PF07394
120322-bin51|PROKKA_MOD_00578	PF08811
120322-bin51|PROKKA_MOD_00579	PF02898
120322-bin51|PROKKA_MOD_00583	PF01618
120322-bin51|PROKKA_MOD_00585	PF11325
120322-bin51|PROKKA_MOD_00586	PF13593
120322-bin51|PROKKA_MOD_00587	PF01926
120322-bin51|PROKKA_MOD_00589	PF00482
120322-bin51|PROKKA_MOD_00591	PF12847
120322-bin51|PROKKA_MOD_00592	PF00270
120322-bin51|PROKKA_MOD_00593	PF00006
120322-bin51|PROKKA_MOD_00594	PF00437
120322-bin51|PROKKA_MOD_00595	PF00437
120322-bin51|PROKKA_MOD_00596	PF00437
120322-bin51|PROKKA_MOD_00597	PF00482
120322-bin51|PROKKA_MOD_00598	PF01435
120322-bin51|PROKKA_MOD_00599	PF03372
120322-bin51|PROKKA_MOD_00600	PF12706
120322-bin51|PROKKA_MOD_00601	PF03255
120322-bin51|PROKKA_MOD_00607	PF01618
120322-bin51|PROKKA_MOD_00608	PF02472
120322-bin51|PROKKA_MOD_00610	PF00383
120322-bin51|PROKKA_MOD_00611	PF02622
120322-bin51|PROKKA_MOD_00612	PF01197
120322-bin51|PROKKA_MOD_00613	PF03772
120322-bin51|PROKKA_MOD_00614	PF12002
120322-bin51|PROKKA_MOD_00616	PF04020
120322-bin51|PROKKA_MOD_00617	PF12700
120322-bin51|PROKKA_MOD_00618	PF00873
120322-bin51|PROKKA_MOD_00621	PF06865
120322-bin51|PROKKA_MOD_00622	PF00484
120322-bin51|PROKKA_MOD_00623	PF00155
120322-bin51|PROKKA_MOD_00624	PF02569
120322-bin51|PROKKA_MOD_00625	PF00890
120322-bin51|PROKKA_MOD_00626	PF01894
120322-bin51|PROKKA_MOD_00627	PF12680
120322-bin51|PROKKA_MOD_00628	PF00709
120322-bin51|PROKKA_MOD_00629	PF00478
120322-bin51|PROKKA_MOD_00630	PF01188
120322-bin51|PROKKA_MOD_00631	PF00501
120322-bin51|PROKKA_MOD_00632	PF14791
120322-bin51|PROKKA_MOD_00633	PF01966
120322-bin51|PROKKA_MOD_00634	PF04338
120322-bin51|PROKKA_MOD_00635	PF00728
120322-bin51|PROKKA_MOD_00636	PF05221
120322-bin51|PROKKA_MOD_00637	PF02773
120322-bin51|PROKKA_MOD_00638	PF00271
120322-bin51|PROKKA_MOD_00639	PF00534
120322-bin51|PROKKA_MOD_00640	PF04041
120322-bin51|PROKKA_MOD_00642	PF00005
120322-bin51|PROKKA_MOD_00645	PF14056
120322-bin51|PROKKA_MOD_00646	PF00005
120322-bin51|PROKKA_MOD_00647	PF00528
120322-bin51|PROKKA_MOD_00648	PF00528
120322-bin51|PROKKA_MOD_00649	PF00496
120322-bin51|PROKKA_MOD_00650	PF01726
120322-bin51|PROKKA_MOD_00651	PF00535
120322-bin51|PROKKA_MOD_00653	PF02424
120322-bin51|PROKKA_MOD_00655	PF01521
120322-bin51|PROKKA_MOD_00656	PF00069
120322-bin51|PROKKA_MOD_00657	PF04963
120322-bin51|PROKKA_MOD_00658	PF00682
120322-bin51|PROKKA_MOD_00659	PF00171
120322-bin51|PROKKA_MOD_00660	PF00009
120322-bin51|PROKKA_MOD_00661	PF13419
120322-bin51|PROKKA_MOD_00662	PF00702
120322-bin51|PROKKA_MOD_00664	PF01926
120322-bin51|PROKKA_MOD_00665	PF01656
120322-bin51|PROKKA_MOD_00668	PF03167
120322-bin51|PROKKA_MOD_00669	PF07724
120322-bin51|PROKKA_MOD_00670	PF00217
120322-bin51|PROKKA_MOD_00672	PF01063
120322-bin51|PROKKA_MOD_00674	PF00591
120322-bin51|PROKKA_MOD_00675	PF00750
120322-bin51|PROKKA_MOD_00678	PF03971
120322-bin51|PROKKA_MOD_00679	PF00155
120322-bin51|PROKKA_MOD_00684	PF00902
120322-bin51|PROKKA_MOD_00685	PF02896
120322-bin51|PROKKA_MOD_00687	PF03631
120322-bin51|PROKKA_MOD_00689	PF13720
120322-bin51|PROKKA_MOD_00690	PF03331
120322-bin51|PROKKA_MOD_00691	PF00448
120322-bin51|PROKKA_MOD_00692	PF00156
120322-bin51|PROKKA_MOD_00693	PF00793
120322-bin51|PROKKA_MOD_00694	PF04055
120322-bin51|PROKKA_MOD_00695	PF01134
120322-bin51|PROKKA_MOD_00696	PF10396
120322-bin51|PROKKA_MOD_00697	PF00154
120322-bin51|PROKKA_MOD_00701	PF13419
120322-bin51|PROKKA_MOD_00702	PF00106
120322-bin51|PROKKA_MOD_00703	PF13472
120322-bin51|PROKKA_MOD_00704	PF06094
120322-bin51|PROKKA_MOD_00705	PF00919
120322-bin51|PROKKA_MOD_00706	PF08755
120322-bin51|PROKKA_MOD_00707	PF02401
120322-bin51|PROKKA_MOD_00708	PF02566
120322-bin51|PROKKA_MOD_00710	PF01066
120322-bin51|PROKKA_MOD_00711	PF00712
120322-bin51|PROKKA_MOD_00714	PF00393
120322-bin51|PROKKA_MOD_00715	PF05635
120322-bin51|PROKKA_MOD_00716	PF00596
120322-bin51|PROKKA_MOD_00717	PF03319
120322-bin51|PROKKA_MOD_00718	PF03319
120322-bin51|PROKKA_MOD_00720	PF00171
120322-bin51|PROKKA_MOD_00721	PF03319
120322-bin51|PROKKA_MOD_00722	PF00936
120322-bin51|PROKKA_MOD_00723	PF00871
120322-bin51|PROKKA_MOD_00724	PF00936
120322-bin51|PROKKA_MOD_00725	PF00936
120322-bin51|PROKKA_MOD_00726	PF06130
120322-bin51|PROKKA_MOD_00727	PF00455
120322-bin51|PROKKA_MOD_00728	PF02782
120322-bin51|PROKKA_MOD_00729	PF06039
120322-bin51|PROKKA_MOD_00731	PF07228
120322-bin51|PROKKA_MOD_00733	PF00697
120322-bin51|PROKKA_MOD_00735	PF13875
120322-bin51|PROKKA_MOD_00736	PF00160
120322-bin51|PROKKA_MOD_00737	PF00254
120322-bin51|PROKKA_MOD_00740	PF13085
120322-bin51|PROKKA_MOD_00741	PF02910
120322-bin51|PROKKA_MOD_00743	PF06418
120322-bin51|PROKKA_MOD_00745	PF00218
120322-bin51|PROKKA_MOD_00746	PF00398
120322-bin51|PROKKA_MOD_00747	PF00375
120322-bin51|PROKKA_MOD_00748	PF00884
120322-bin51|PROKKA_MOD_00749	PF14588
120322-bin51|PROKKA_MOD_00750	PF14489
120322-bin51|PROKKA_MOD_00751	PF02417
120322-bin51|PROKKA_MOD_00753	PF01138
120322-bin51|PROKKA_MOD_00755	PF12848
120322-bin51|PROKKA_MOD_00758	PF08670
120322-bin51|PROKKA_MOD_00759	PF13641
120322-bin51|PROKKA_MOD_00760	PF12695
120322-bin51|PROKKA_MOD_00762	PF14498
120322-bin51|PROKKA_MOD_00763	PF00474
120322-bin51|PROKKA_MOD_00764	PF05448
120322-bin51|PROKKA_MOD_00765	PF00884
120322-bin51|PROKKA_MOD_00767	PF12833
