120322-bin51|PROKKA_MOD_00001	COG0001
120322-bin51|PROKKA_MOD_00100	COG0025
120322-bin51|PROKKA_MOD_00103	COG4974
120322-bin51|PROKKA_MOD_00104	COG0548
120322-bin51|PROKKA_MOD_00107	COG2977
120322-bin51|PROKKA_MOD_00108	COG1525
120322-bin51|PROKKA_MOD_00109	COG2326
120322-bin51|PROKKA_MOD_00110	COG0036
120322-bin51|PROKKA_MOD_00111	COG0388
120322-bin51|PROKKA_MOD_00112	COG0642
120322-bin51|PROKKA_MOD_00113	COG0440
120322-bin51|PROKKA_MOD_00114	COG0059
120322-bin51|PROKKA_MOD_00115	COG0181
120322-bin51|PROKKA_MOD_00116	COG0007
120322-bin51|PROKKA_MOD_00117	COG0822
120322-bin51|PROKKA_MOD_00118	COG0520
120322-bin51|PROKKA_MOD_00119	COG0642
120322-bin51|PROKKA_MOD_00120	COG0365
120322-bin51|PROKKA_MOD_00122	COG0107
120322-bin51|PROKKA_MOD_00123	COG2159
120322-bin51|PROKKA_MOD_00124	COG0451
120322-bin51|PROKKA_MOD_00126	COG1199
120322-bin51|PROKKA_MOD_00128	COG2135
120322-bin51|PROKKA_MOD_00131	COG1249
120322-bin51|PROKKA_MOD_00133	COG0693
120322-bin51|PROKKA_MOD_00138	COG0511
120322-bin51|PROKKA_MOD_00139	COG1883
120322-bin51|PROKKA_MOD_00140	COG2197
120322-bin51|PROKKA_MOD_00144	COG0167
120322-bin51|PROKKA_MOD_00145	COG1561
120322-bin51|PROKKA_MOD_00149	COG2208
120322-bin51|PROKKA_MOD_00153	COG0437
120322-bin51|PROKKA_MOD_00154	COG5557
120322-bin51|PROKKA_MOD_00159	COG3278
120322-bin51|PROKKA_MOD_00160	COG2993
120322-bin51|PROKKA_MOD_00161	COG2010
120322-bin51|PROKKA_MOD_00162	COG0346
120322-bin51|PROKKA_MOD_00163	COG2207
120322-bin51|PROKKA_MOD_00164	COG1082
120322-bin51|PROKKA_MOD_00167	COG0673
120322-bin51|PROKKA_MOD_00168	COG3119
120322-bin51|PROKKA_MOD_00169	COG0673
120322-bin51|PROKKA_MOD_00173	COG2352
120322-bin51|PROKKA_MOD_00177	COG0855
120322-bin51|PROKKA_MOD_00179	COG0326
120322-bin51|PROKKA_MOD_00180	COG0253
120322-bin51|PROKKA_MOD_00181	COG0642
120322-bin51|PROKKA_MOD_00182	COG0119
120322-bin51|PROKKA_MOD_00184	COG1262
120322-bin51|PROKKA_MOD_00192	COG2755
120322-bin51|PROKKA_MOD_00193	COG2755
120322-bin51|PROKKA_MOD_00194	COG2197
120322-bin51|PROKKA_MOD_00195	COG4585
120322-bin51|PROKKA_MOD_00197	COG0153
120322-bin51|PROKKA_MOD_00198	COG1087
120322-bin51|PROKKA_MOD_00199	COG1459
120322-bin51|PROKKA_MOD_00200	COG0594
120322-bin51|PROKKA_MOD_00201	COG0759
120322-bin51|PROKKA_MOD_00202	COG0706
120322-bin51|PROKKA_MOD_00203	COG0217
120322-bin51|PROKKA_MOD_00204	COG0637
120322-bin51|PROKKA_MOD_00205	COG2928
120322-bin51|PROKKA_MOD_00207	COG0343
120322-bin51|PROKKA_MOD_00208	COG0054
120322-bin51|PROKKA_MOD_00209	COG0781
120322-bin51|PROKKA_MOD_00210	COG0552
120322-bin51|PROKKA_MOD_00211	COG0337
120322-bin51|PROKKA_MOD_00212	COG0662
120322-bin51|PROKKA_MOD_00213	COG0642
120322-bin51|PROKKA_MOD_00214	COG0745
120322-bin51|PROKKA_MOD_00216	COG0265
120322-bin51|PROKKA_MOD_00217	COG1959
120322-bin51|PROKKA_MOD_00218	COG0745
120322-bin51|PROKKA_MOD_00219	COG0498
120322-bin51|PROKKA_MOD_00220	COG0624
120322-bin51|PROKKA_MOD_00221	COG1324
120322-bin51|PROKKA_MOD_00222	COG0277
120322-bin51|PROKKA_MOD_00223	COG0642
120322-bin51|PROKKA_MOD_00224	COG0012
120322-bin51|PROKKA_MOD_00227	COG0755
120322-bin51|PROKKA_MOD_00230	COG0811
120322-bin51|PROKKA_MOD_00233	COG0816
120322-bin51|PROKKA_MOD_00234	COG0836
120322-bin51|PROKKA_MOD_00237	COG0052
120322-bin51|PROKKA_MOD_00238	COG0071
120322-bin51|PROKKA_MOD_00239	COG0071
120322-bin51|PROKKA_MOD_00240	COG1082
120322-bin51|PROKKA_MOD_00243	COG0566
120322-bin51|PROKKA_MOD_00244	COG0784
120322-bin51|PROKKA_MOD_00245	COG0403
120322-bin51|PROKKA_MOD_00246	COG0404
120322-bin51|PROKKA_MOD_00247	COG0265
120322-bin51|PROKKA_MOD_00249	COG1595
120322-bin51|PROKKA_MOD_00250	COG0304
120322-bin51|PROKKA_MOD_00251	COG0236
120322-bin51|PROKKA_MOD_00252	COG1233
120322-bin51|PROKKA_MOD_00254	COG0537
120322-bin51|PROKKA_MOD_00256	COG1327
120322-bin51|PROKKA_MOD_00257	COG0512
120322-bin51|PROKKA_MOD_00258	COG0133
120322-bin51|PROKKA_MOD_00259	COG1212
120322-bin51|PROKKA_MOD_00260	COG0607
120322-bin51|PROKKA_MOD_00264	COG0110
120322-bin51|PROKKA_MOD_00265	COG1028
120322-bin51|PROKKA_MOD_00267	COG0332
120322-bin51|PROKKA_MOD_00268	COG0318
120322-bin51|PROKKA_MOD_00269	COG1028
120322-bin51|PROKKA_MOD_00271	COG0511
120322-bin51|PROKKA_MOD_00272	COG0439
120322-bin51|PROKKA_MOD_00273	COG1302
120322-bin51|PROKKA_MOD_00276	COG0695
120322-bin51|PROKKA_MOD_00277	COG0069
120322-bin51|PROKKA_MOD_00278	COG0493
120322-bin51|PROKKA_MOD_00280	COG0560
120322-bin51|PROKKA_MOD_00282	COG3201
120322-bin51|PROKKA_MOD_00283	COG3172
120322-bin51|PROKKA_MOD_00284	COG0695
120322-bin51|PROKKA_MOD_00285	COG0366
120322-bin51|PROKKA_MOD_00286	COG0438
120322-bin51|PROKKA_MOD_00287	COG0695
120322-bin51|PROKKA_MOD_00288	COG0111
120322-bin51|PROKKA_MOD_00289	COG0344
120322-bin51|PROKKA_MOD_00290	COG0460
120322-bin51|PROKKA_MOD_00291	COG0527
120322-bin51|PROKKA_MOD_00292	COG0803
120322-bin51|PROKKA_MOD_00293	COG1121
120322-bin51|PROKKA_MOD_00294	COG1108
120322-bin51|PROKKA_MOD_00295	COG0050
120322-bin51|PROKKA_MOD_00296	COG0690
120322-bin51|PROKKA_MOD_00297	COG0250
120322-bin51|PROKKA_MOD_00298	COG0080
120322-bin51|PROKKA_MOD_00299	COG0081
120322-bin51|PROKKA_MOD_00300	COG0244
120322-bin51|PROKKA_MOD_00301	COG0222
120322-bin51|PROKKA_MOD_00302	COG0085
120322-bin51|PROKKA_MOD_00303	COG0086
120322-bin51|PROKKA_MOD_00304	COG0048
120322-bin51|PROKKA_MOD_00305	COG0049
120322-bin51|PROKKA_MOD_00306	COG0480
120322-bin51|PROKKA_MOD_00307	COG0051
120322-bin51|PROKKA_MOD_00308	COG0087
120322-bin51|PROKKA_MOD_00309	COG0088
120322-bin51|PROKKA_MOD_00310	COG0089
120322-bin51|PROKKA_MOD_00311	COG0090
120322-bin51|PROKKA_MOD_00312	COG0185
120322-bin51|PROKKA_MOD_00314	COG0091
120322-bin51|PROKKA_MOD_00315	COG0092
120322-bin51|PROKKA_MOD_00316	COG0197
120322-bin51|PROKKA_MOD_00317	COG0255
120322-bin51|PROKKA_MOD_00318	COG0186
120322-bin51|PROKKA_MOD_00319	COG0093
120322-bin51|PROKKA_MOD_00320	COG0198
120322-bin51|PROKKA_MOD_00321	COG0094
120322-bin51|PROKKA_MOD_00322	COG0188
120322-bin51|PROKKA_MOD_00323	COG0187
120322-bin51|PROKKA_MOD_00324	COG1959
120322-bin51|PROKKA_MOD_00325	COG0471
120322-bin51|PROKKA_MOD_00326	COG3336
120322-bin51|PROKKA_MOD_00328	COG1845
120322-bin51|PROKKA_MOD_00329	COG0843
120322-bin51|PROKKA_MOD_00330	COG1622
120322-bin51|PROKKA_MOD_00331	COG2322
120322-bin51|PROKKA_MOD_00332	COG0109
120322-bin51|PROKKA_MOD_00335	COG0142
120322-bin51|PROKKA_MOD_00340	COG2985
120322-bin51|PROKKA_MOD_00341	COG0272
120322-bin51|PROKKA_MOD_00342	COG1232
120322-bin51|PROKKA_MOD_00343	COG0667
120322-bin51|PROKKA_MOD_00344	COG0407
120322-bin51|PROKKA_MOD_00345	COG0408
120322-bin51|PROKKA_MOD_00346	COG0451
120322-bin51|PROKKA_MOD_00348	COG0664
120322-bin51|PROKKA_MOD_00349	COG0718
120322-bin51|PROKKA_MOD_00350	COG0353
120322-bin51|PROKKA_MOD_00352	COG0379
120322-bin51|PROKKA_MOD_00354	COG0142
120322-bin51|PROKKA_MOD_00357	COG0347
120322-bin51|PROKKA_MOD_00358	COG0004
120322-bin51|PROKKA_MOD_00359	COG0347
120322-bin51|PROKKA_MOD_00360	COG0004
120322-bin51|PROKKA_MOD_00361	COG0841
120322-bin51|PROKKA_MOD_00362	COG0845
120322-bin51|PROKKA_MOD_00363	COG1538
120322-bin51|PROKKA_MOD_00367	COG0143
120322-bin51|PROKKA_MOD_00370	COG0668
120322-bin51|PROKKA_MOD_00371	COG1600
120322-bin51|PROKKA_MOD_00372	COG0642
120322-bin51|PROKKA_MOD_00373	COG0330
120322-bin51|PROKKA_MOD_00375	COG4974
120322-bin51|PROKKA_MOD_00376	COG1192
120322-bin51|PROKKA_MOD_00377	COG0205
120322-bin51|PROKKA_MOD_00378	COG0738
120322-bin51|PROKKA_MOD_00380	COG2501
120322-bin51|PROKKA_MOD_00381	COG0513
120322-bin51|PROKKA_MOD_00384	COG0556
120322-bin51|PROKKA_MOD_00386	COG1278
120322-bin51|PROKKA_MOD_00389	COG3119
120322-bin51|PROKKA_MOD_00392	COG3119
120322-bin51|PROKKA_MOD_00393	COG3119
120322-bin51|PROKKA_MOD_00394	COG3119
120322-bin51|PROKKA_MOD_00395	COG2309
120322-bin51|PROKKA_MOD_00397	COG1816
120322-bin51|PROKKA_MOD_00398	COG0598
120322-bin51|PROKKA_MOD_00400	COG4067
120322-bin51|PROKKA_MOD_00401	COG3608
120322-bin51|PROKKA_MOD_00402	COG0189
120322-bin51|PROKKA_MOD_00403	COG0749
120322-bin51|PROKKA_MOD_00404	COG0524
120322-bin51|PROKKA_MOD_00405	COG0369
120322-bin51|PROKKA_MOD_00406	COG0155
120322-bin51|PROKKA_MOD_00407	COG2226
120322-bin51|PROKKA_MOD_00410	COG3326
120322-bin51|PROKKA_MOD_00412	COG0631
120322-bin51|PROKKA_MOD_00413	COG1199
120322-bin51|PROKKA_MOD_00414	COG1211
120322-bin51|PROKKA_MOD_00415	COG0284
120322-bin51|PROKKA_MOD_00416	COG1947
120322-bin51|PROKKA_MOD_00417	COG1080
120322-bin51|PROKKA_MOD_00418	COG1052
120322-bin51|PROKKA_MOD_00419	COG0438
120322-bin51|PROKKA_MOD_00420	COG2198
120322-bin51|PROKKA_MOD_00421	COG0795
120322-bin51|PROKKA_MOD_00422	COG1092
120322-bin51|PROKKA_MOD_00423	COG1115
120322-bin51|PROKKA_MOD_00424	COG1826
120322-bin51|PROKKA_MOD_00426	COG0568
120322-bin51|PROKKA_MOD_00427	COG0358
120322-bin51|PROKKA_MOD_00430	COG0838
120322-bin51|PROKKA_MOD_00431	COG1624
120322-bin51|PROKKA_MOD_00432	COG0159
120322-bin51|PROKKA_MOD_00435	COG3008
120322-bin51|PROKKA_MOD_00436	COG3009
120322-bin51|PROKKA_MOD_00439	COG0389
120322-bin51|PROKKA_MOD_00440	COG1674
120322-bin51|PROKKA_MOD_00441	COG1482
120322-bin51|PROKKA_MOD_00442	COG0576
120322-bin51|PROKKA_MOD_00443	COG0484
120322-bin51|PROKKA_MOD_00444	COG0299
120322-bin51|PROKKA_MOD_00445	COG2264
120322-bin51|PROKKA_MOD_00448	COG4864
120322-bin51|PROKKA_MOD_00450	COG1030
120322-bin51|PROKKA_MOD_00451	COG2017
120322-bin51|PROKKA_MOD_00452	COG0569
120322-bin51|PROKKA_MOD_00453	COG0168
120322-bin51|PROKKA_MOD_00455	COG0705
120322-bin51|PROKKA_MOD_00456	COG0793
120322-bin51|PROKKA_MOD_00457	COG0355
120322-bin51|PROKKA_MOD_00458	COG0055
120322-bin51|PROKKA_MOD_00459	COG0224
120322-bin51|PROKKA_MOD_00460	COG0056
120322-bin51|PROKKA_MOD_00461	COG0712
120322-bin51|PROKKA_MOD_00462	COG0711
120322-bin51|PROKKA_MOD_00464	COG0356
120322-bin51|PROKKA_MOD_00466	COG0220
120322-bin51|PROKKA_MOD_00468	COG1523
120322-bin51|PROKKA_MOD_00469	COG1398
120322-bin51|PROKKA_MOD_00470	COG0057
120322-bin51|PROKKA_MOD_00471	COG0126
120322-bin51|PROKKA_MOD_00472	COG0149
120322-bin51|PROKKA_MOD_00473	COG0331
120322-bin51|PROKKA_MOD_00474	COG0481
120322-bin51|PROKKA_MOD_00476	COG2081
120322-bin51|PROKKA_MOD_00477	COG1640
120322-bin51|PROKKA_MOD_00478	COG1198
120322-bin51|PROKKA_MOD_00479	COG1132
120322-bin51|PROKKA_MOD_00481	COG0735
120322-bin51|PROKKA_MOD_00482	COG0261
120322-bin51|PROKKA_MOD_00483	COG0211
120322-bin51|PROKKA_MOD_00485	COG0553
120322-bin51|PROKKA_MOD_00486	COG0659
120322-bin51|PROKKA_MOD_00487	COG0589
120322-bin51|PROKKA_MOD_00488	COG2017
120322-bin51|PROKKA_MOD_00489	COG0022
120322-bin51|PROKKA_MOD_00493	COG0665
120322-bin51|PROKKA_MOD_00494	COG0792
120322-bin51|PROKKA_MOD_00495	COG0364
120322-bin51|PROKKA_MOD_00497	COG1225
120322-bin51|PROKKA_MOD_00498	COG0664
120322-bin51|PROKKA_MOD_00500	COG0469
120322-bin51|PROKKA_MOD_00501	COG1235
120322-bin51|PROKKA_MOD_00502	COG1469
120322-bin51|PROKKA_MOD_00503	COG1443
120322-bin51|PROKKA_MOD_00506	COG2204
120322-bin51|PROKKA_MOD_00509	COG0607
120322-bin51|PROKKA_MOD_00512	COG0177
120322-bin51|PROKKA_MOD_00515	COG1254
120322-bin51|PROKKA_MOD_00519	COG0321
120322-bin51|PROKKA_MOD_00520	COG0320
120322-bin51|PROKKA_MOD_00521	COG2853
120322-bin51|PROKKA_MOD_00522	COG0667
120322-bin51|PROKKA_MOD_00523	COG4747
120322-bin51|PROKKA_MOD_00524	COG1309
120322-bin51|PROKKA_MOD_00525	COG1408
120322-bin51|PROKKA_MOD_00527	COG0152
120322-bin51|PROKKA_MOD_00533	COG0082
120322-bin51|PROKKA_MOD_00535	COG1988
120322-bin51|PROKKA_MOD_00538	COG1189
120322-bin51|PROKKA_MOD_00539	COG2957
120322-bin51|PROKKA_MOD_00540	COG0388
120322-bin51|PROKKA_MOD_00541	COG0040
120322-bin51|PROKKA_MOD_00542	COG1225
120322-bin51|PROKKA_MOD_00543	COG0745
120322-bin51|PROKKA_MOD_00545	COG2148
120322-bin51|PROKKA_MOD_00546	COG0250
120322-bin51|PROKKA_MOD_00547	COG1922
120322-bin51|PROKKA_MOD_00548	COG0438
120322-bin51|PROKKA_MOD_00552	COG0438
120322-bin51|PROKKA_MOD_00553	COG0438
120322-bin51|PROKKA_MOD_00554	COG0110
120322-bin51|PROKKA_MOD_00557	COG0458
120322-bin51|PROKKA_MOD_00562	COG0189
120322-bin51|PROKKA_MOD_00567	COG1131
120322-bin51|PROKKA_MOD_00569	COG0415
120322-bin51|PROKKA_MOD_00577	COG4102
120322-bin51|PROKKA_MOD_00579	COG4362
120322-bin51|PROKKA_MOD_00583	COG0811
120322-bin51|PROKKA_MOD_00586	COG0385
120322-bin51|PROKKA_MOD_00587	COG0218
120322-bin51|PROKKA_MOD_00589	COG1459
120322-bin51|PROKKA_MOD_00592	COG0513
120322-bin51|PROKKA_MOD_00593	COG1158
120322-bin51|PROKKA_MOD_00594	COG2804
120322-bin51|PROKKA_MOD_00595	COG2805
120322-bin51|PROKKA_MOD_00596	COG2804
120322-bin51|PROKKA_MOD_00597	COG1459
120322-bin51|PROKKA_MOD_00599	COG3568
120322-bin51|PROKKA_MOD_00600	COG1235
120322-bin51|PROKKA_MOD_00601	COG0825
120322-bin51|PROKKA_MOD_00603	COG1579
120322-bin51|PROKKA_MOD_00607	COG0811
120322-bin51|PROKKA_MOD_00610	COG2131
120322-bin51|PROKKA_MOD_00611	COG1678
120322-bin51|PROKKA_MOD_00612	COG0254
120322-bin51|PROKKA_MOD_00613	COG0658
120322-bin51|PROKKA_MOD_00614	COG2256
120322-bin51|PROKKA_MOD_00616	COG1950
120322-bin51|PROKKA_MOD_00618	COG3696
120322-bin51|PROKKA_MOD_00620	COG0471
120322-bin51|PROKKA_MOD_00621	COG3123
120322-bin51|PROKKA_MOD_00622	COG0288
120322-bin51|PROKKA_MOD_00623	COG0436
120322-bin51|PROKKA_MOD_00624	COG0414
120322-bin51|PROKKA_MOD_00625	COG0029
120322-bin51|PROKKA_MOD_00626	COG0432
120322-bin51|PROKKA_MOD_00628	COG0104
120322-bin51|PROKKA_MOD_00629	COG0516
120322-bin51|PROKKA_MOD_00630	COG4948
120322-bin51|PROKKA_MOD_00631	COG0318
120322-bin51|PROKKA_MOD_00632	COG1796
120322-bin51|PROKKA_MOD_00633	COG1418
120322-bin51|PROKKA_MOD_00636	COG0499
120322-bin51|PROKKA_MOD_00637	COG0192
120322-bin51|PROKKA_MOD_00638	COG0514
120322-bin51|PROKKA_MOD_00639	COG0438
120322-bin51|PROKKA_MOD_00640	COG2152
120322-bin51|PROKKA_MOD_00643	COG2026
120322-bin51|PROKKA_MOD_00646	COG0444
120322-bin51|PROKKA_MOD_00647	COG1173
120322-bin51|PROKKA_MOD_00648	COG0601
120322-bin51|PROKKA_MOD_00649	COG0747
120322-bin51|PROKKA_MOD_00650	COG1974
120322-bin51|PROKKA_MOD_00651	COG0463
120322-bin51|PROKKA_MOD_00653	COG1477
120322-bin51|PROKKA_MOD_00654	COG2509
120322-bin51|PROKKA_MOD_00655	COG0316
120322-bin51|PROKKA_MOD_00656	COG0515
120322-bin51|PROKKA_MOD_00657	COG1508
120322-bin51|PROKKA_MOD_00658	COG0119
120322-bin51|PROKKA_MOD_00659	COG1012
120322-bin51|PROKKA_MOD_00660	COG0480
120322-bin51|PROKKA_MOD_00661	COG0546
120322-bin51|PROKKA_MOD_00662	COG0546
120322-bin51|PROKKA_MOD_00664	COG2262
120322-bin51|PROKKA_MOD_00665	COG1192
120322-bin51|PROKKA_MOD_00668	COG1573
120322-bin51|PROKKA_MOD_00669	COG0542
120322-bin51|PROKKA_MOD_00670	COG3869
120322-bin51|PROKKA_MOD_00671	COG3880
120322-bin51|PROKKA_MOD_00672	COG0115
120322-bin51|PROKKA_MOD_00674	COG0213
120322-bin51|PROKKA_MOD_00675	COG0018
120322-bin51|PROKKA_MOD_00678	COG2838
120322-bin51|PROKKA_MOD_00679	COG0436
120322-bin51|PROKKA_MOD_00684	COG0805
120322-bin51|PROKKA_MOD_00685	COG0574
120322-bin51|PROKKA_MOD_00687	COG1295
120322-bin51|PROKKA_MOD_00689	COG1043
120322-bin51|PROKKA_MOD_00690	COG0774
120322-bin51|PROKKA_MOD_00691	COG0541
120322-bin51|PROKKA_MOD_00692	COG0634
120322-bin51|PROKKA_MOD_00693	COG0722
120322-bin51|PROKKA_MOD_00694	COG0820
120322-bin51|PROKKA_MOD_00695	COG0445
120322-bin51|PROKKA_MOD_00696	COG0486
120322-bin51|PROKKA_MOD_00697	COG0468
120322-bin51|PROKKA_MOD_00701	COG0546
120322-bin51|PROKKA_MOD_00702	COG4221
120322-bin51|PROKKA_MOD_00703	COG2755
120322-bin51|PROKKA_MOD_00704	COG2105
120322-bin51|PROKKA_MOD_00705	COG0621
120322-bin51|PROKKA_MOD_00706	COG3785
120322-bin51|PROKKA_MOD_00707	COG0761
120322-bin51|PROKKA_MOD_00708	COG1765
120322-bin51|PROKKA_MOD_00710	COG1183
120322-bin51|PROKKA_MOD_00711	COG0592
120322-bin51|PROKKA_MOD_00714	COG0362
120322-bin51|PROKKA_MOD_00716	COG0235
120322-bin51|PROKKA_MOD_00717	COG4576
120322-bin51|PROKKA_MOD_00718	COG4576
120322-bin51|PROKKA_MOD_00720	COG1012
120322-bin51|PROKKA_MOD_00721	COG4576
120322-bin51|PROKKA_MOD_00722	COG4577
120322-bin51|PROKKA_MOD_00723	COG0282
120322-bin51|PROKKA_MOD_00724	COG4577
120322-bin51|PROKKA_MOD_00725	COG4577
120322-bin51|PROKKA_MOD_00726	COG4869
120322-bin51|PROKKA_MOD_00727	COG1349
120322-bin51|PROKKA_MOD_00728	COG1070
120322-bin51|PROKKA_MOD_00729	COG0579
120322-bin51|PROKKA_MOD_00731	COG2208
120322-bin51|PROKKA_MOD_00733	COG0135
120322-bin51|PROKKA_MOD_00736	COG0652
120322-bin51|PROKKA_MOD_00737	COG0545
120322-bin51|PROKKA_MOD_00740	COG0479
120322-bin51|PROKKA_MOD_00741	COG1053
120322-bin51|PROKKA_MOD_00743	COG0504
120322-bin51|PROKKA_MOD_00745	COG0134
120322-bin51|PROKKA_MOD_00746	COG0030
120322-bin51|PROKKA_MOD_00747	COG1301
120322-bin51|PROKKA_MOD_00748	COG3119
120322-bin51|PROKKA_MOD_00749	COG0251
120322-bin51|PROKKA_MOD_00750	COG0780
120322-bin51|PROKKA_MOD_00751	COG2059
120322-bin51|PROKKA_MOD_00753	COG0689
120322-bin51|PROKKA_MOD_00755	COG0488
120322-bin51|PROKKA_MOD_00759	COG1215
120322-bin51|PROKKA_MOD_00763	COG0591
120322-bin51|PROKKA_MOD_00765	COG3119
120322-bin51|PROKKA_MOD_00767	COG2207
120322-bin51|PROKKA_MOD_00768	COG0363
120322-bin51|PROKKA_MOD_00769	COG1940
120322-bin51|PROKKA_MOD_00770	COG2120
120322-bin51|PROKKA_MOD_00771	COG0673
120322-bin51|PROKKA_MOD_00772	COG0673
120322-bin51|PROKKA_MOD_00773	COG1082
120322-bin51|PROKKA_MOD_00776	COG2239
120322-bin51|PROKKA_MOD_00778	COG1051
120322-bin51|PROKKA_MOD_00779	COG0772
120322-bin51|PROKKA_MOD_00780	COG1530
120322-bin51|PROKKA_MOD_00781	COG1929
120322-bin51|PROKKA_MOD_00783	COG3876
120322-bin51|PROKKA_MOD_00787	COG1387
120322-bin51|PROKKA_MOD_00788	COG0259
120322-bin51|PROKKA_MOD_00789	COG0492
120322-bin51|PROKKA_MOD_00791	COG0084
120322-bin51|PROKKA_MOD_00794	COG2877
120322-bin51|PROKKA_MOD_00795	COG1253
120322-bin51|PROKKA_MOD_00796	COG0079
120322-bin51|PROKKA_MOD_00797	COG1091
120322-bin51|PROKKA_MOD_00798	COG0095
120322-bin51|PROKKA_MOD_00800	COG0764
120322-bin51|PROKKA_MOD_00801	COG3361
120322-bin51|PROKKA_MOD_00802	COG0587
120322-bin51|PROKKA_MOD_00805	COG1196
120322-bin51|PROKKA_MOD_00806	COG1611
120322-bin51|PROKKA_MOD_00808	COG0794
120322-bin51|PROKKA_MOD_00809	COG0705
120322-bin51|PROKKA_MOD_00812	COG0034
120322-bin51|PROKKA_MOD_00813	COG0053
120322-bin51|PROKKA_MOD_00814	COG2967
120322-bin51|PROKKA_MOD_00815	COG1236
120322-bin51|PROKKA_MOD_00816	COG1217
120322-bin51|PROKKA_MOD_00818	COG2996
120322-bin51|PROKKA_MOD_00820	COG0165
120322-bin51|PROKKA_MOD_00821	COG0728
120322-bin51|PROKKA_MOD_00822	COG0280
120322-bin51|PROKKA_MOD_00823	COG0857
120322-bin51|PROKKA_MOD_00824	COG1722
120322-bin51|PROKKA_MOD_00825	COG1154
120322-bin51|PROKKA_MOD_00831	COG2026
120322-bin51|PROKKA_MOD_00832	COG2929
120322-bin51|PROKKA_MOD_00835	COG2161
120322-bin51|PROKKA_MOD_00836	COG4115
120322-bin51|PROKKA_MOD_00838	COG2805
120322-bin51|PROKKA_MOD_00839	COG0329
120322-bin51|PROKKA_MOD_00840	COG0289
120322-bin51|PROKKA_MOD_00841	COG0632
120322-bin51|PROKKA_MOD_00843	COG1595
120322-bin51|PROKKA_MOD_00845	COG2021
120322-bin51|PROKKA_MOD_00846	COG0462
120322-bin51|PROKKA_MOD_00847	COG1044
120322-bin51|PROKKA_MOD_00848	COG2825
120322-bin51|PROKKA_MOD_00849	COG4775
120322-bin51|PROKKA_MOD_00850	COG0305
120322-bin51|PROKKA_MOD_00851	COG0359
120322-bin51|PROKKA_MOD_00852	COG0629
120322-bin51|PROKKA_MOD_00853	COG0360
120322-bin51|PROKKA_MOD_00854	COG0193
120322-bin51|PROKKA_MOD_00855	COG1825
120322-bin51|PROKKA_MOD_00857	COG1166
120322-bin51|PROKKA_MOD_00858	COG0509
